iter	Passed	Remaining
308	2206	4933
309	2214	4928
310	2225	4931
311	2234	4928
312	2243	4923
313	2252	4920
314	2260	4915
315	2268	4910
316	2275	4902
317	2282	4895
318	2289	4887
319	2297	4881
320	2304	4875
321	2312	4869
322	2322	4867
323	2330	4861
324	2338	4856
325	2344	4847
326	2352	4842
327	2362	4839
328	2376	4846
329	2387	4846
330	2396	4844
331	2404	4838
332	2410	4829
333	2418	4821
334	2424	4813
335	2432	4806
336	2439	4798
337	2450	4798
338	2456	4790
339	2462	4781
340	2470	4774
341	2477	4766
342	2485	4760
343	2491	4751
344	2498	4743
345	2505	4735
346	2511	4726
347	2519	4719
348	2525	4711
349	2532	4703
350	2539	4695
351	2547	4690
352	2555	4684
353	2562	4676
354	2569	4669
355	2579	4666
356	2592	4670
357	2604	4670
358	2612	4664
359	2626	4670
360	2637	4669
361	2674	4714
362	2685	4713
363	2696	4712
364	2705	4706
365	2715	4703
366	2727	4704
367	2736	4699
368	2745	4694
369	2756	4693
370	2767	4691
371	2781	4695
372	2790	4690
373	2802	4690
374	2814	4691
375	2826	4690
376	2856	4719
377	2880	4739
378	2889	4734
379	2897	4727
380	2904	4718
381	2910	4709
382	2917	4700
383	2926	4694
384	2937	4692
385	2967	4720
386	2979	4719
387	2988	4713
388	2996	4707
389	3004	4700
390	3014	4694
391	3021	4685
392	3030	4680
393	3038	4672
394	3045	4665
395	3052	4656
396	3059	4647
397	3067	4640
398	3074	4630
399	3080	4621
400	3086	4611
401	3093	4602
402	3100	4593
403	3107	4583
404	3120	4584
405	3126	4574
406	3133	4565
407	3139	4555
408	3147	4548
409	3154	4538
410	3160	4529
411	3168	4521
412	3188	4532
413	3197	4525
414	3204	4516
415	3212	4510
416	3219	4501
417	3225	4491
418	3232	4482
419	3249	4487
420	3256	4478
421	3263	4470
422	3269	4460
423	3276	4450
424	3283	4441
425	3288	4431
426	3296	4424
427	3304	4416
428	3312	4408
429	3318	4399
430	3326	4391
431	3333	4382
432	3338	4372
433	3345	4363
434	3351	4353
435	3358	4343
436	3365	4335
437	3372	4327
438	3379	4318
439	3385	4308
440	3391	4298
441	3397	4289
442	3404	4280
443	3411	4271
444	3417	4262
445	3423	4252
446	3430	4244
447	3436	4234
448	3443	4225
449	3450	4216
450	3456	4207
451	3464	4199
452	3470	4190
453	3477	4182
454	3500	4192
455	3507	4184
456	3514	4175
457	3520	4166
458	3527	4157
459	3534	4149
460	3541	4140
461	3548	4132
462	3557	4125
463	3565	4118
464	3573	4111
465	3581	4104
466	3589	4096
467	3597	4089
468	3604	4081
469	3612	4074
470	3620	4066
471	3628	4059
472	3635	4051
473	3644	4043
474	3650	4034
475	3658	4027
476	3664	4018
477	3671	4008
478	3678	4001
479	3685	3992
480	3693	3984
481	3700	3976
482	3707	3968
483	3714	3959
484	3721	3951
485	3729	3943
486	3735	3934
487	3742	3926
488	3748	3917
489	3757	3910
490	3763	3901
491	3769	3892
492	3776	3884
493	3783	3875
494	3790	3867
495	3797	3858
496	3804	3849
497	3811	3842
498	3819	3834
499	3827	3827
500	3834	3819
501	3842	3811
502	3850	3804
503	3858	3797
504	3865	3788
505	3872	3780
506	3879	3772
507	3886	3764
508	3894	3756
509	3902	3749
510	3910	3742
511	3916	3733
512	3923	3724
513	3930	3715
514	3937	3708
515	3943	3699
516	3949	3690
517	3956	3681
518	3964	3673
519	3970	3665
520	3978	3657
521	3984	3648
522	3991	3640
523	3998	3632
524	4009	3627
525	4017	3620
526	4025	3613
527	4032	3604
528	4038	3596
529	4045	3587
530	4051	3578
531	4059	3570
532	4065	3561
533	4072	3553
534	4078	3545
535	4086	3537
536	4093	3529
537	4099	3520
538	4106	3512
539	4112	3503
540	4119	3494
541	4126	3486
542	4132	3478
543	4146	3475
544	4153	3467
545	4160	3459
546	4166	3450
547	4174	3443
548	4181	3434
549	4187	3426
550	4194	3418
551	4201	3409
552	4208	3401
553	4214	3393
554	4221	3384
555	4228	3376
556	4234	3367
557	4241	3359
558	4246	3350
559	4253	3342
560	4260	3333
561	4266	3325
562	4275	3318
563	4282	3310
564	4288	3302
565	4294	3293
566	4300	3284
567	4307	3276
568	4313	3267
569	4320	3259
570	4326	3250
571	4332	3241
572	4339	3233
573	4345	3224
574	4351	3216
575	4357	3207
576	4363	3198
577	4369	3190
578	4376	3182
579	4383	3173
580	4391	3167
581	4398	3159
582	4405	3151
583	4411	3142
584	4418	3134
585	4425	3126
586	4431	3118
587	4438	3110
588	4446	3102
589	4453	3094
590	4459	3086
591	4465	3077
592	4473	3070
593	4480	3062
594	4486	3053
595	4492	3045
596	4499	3037
597	4506	3029
598	4512	3020
599	4519	3012
600	4526	3004
601	4536	2999
602	4543	2991
603	4552	2984
604	4559	2976
605	4566	2969
606	4575	2962
607	4582	2954
608	4589	2946
609	4597	2939
610	4603	2930
611	4608	2922
612	4615	2913
613	4622	2906
614	4629	2898
615	4638	2891
616	4645	2883
617	4656	2878
618	4662	2869
619	4669	2862
620	4675	2853
621	4682	2845
622	4689	2837
623	4695	2829
624	4701	2821
625	4708	2812
626	4714	2804
627	4721	2796
628	4726	2788
629	4733	2779
630	4740	2771
631	4746	2763
632	4753	2755
633	4759	2747
634	4766	2739
635	4772	2731
636	4789	2729
637	4796	2721
638	4803	2713
639	4809	2705
640	4816	2697
641	4823	2689
642	4830	2682
643	4838	2674
644	4845	2667
645	4852	2659
646	4859	2651
647	4866	2643
648	4872	2635
649	4879	2627
650	4886	2619
651	4892	2611
652	4899	2603
653	4906	2595
654	4916	2589
655	4922	2581
656	4929	2573
657	4938	2566
658	4950	2561
659	4959	2554
660	4968	2548
661	4979	2542
662	4989	2536
663	4999	2529
664	5008	2522
665	5017	2516
666	5035	2514
667	5045	2507
668	5057	2502
669	5067	2495
670	5075	2488
671	5085	2482
672	5093	2474
673	5104	2468
674	5115	2463
675	5140	2463
676	5156	2460
677	5182	2461
678	5203	2460
679	5212	2452
680	5220	2445
681	5227	2437
682	5237	2430
683	5245	2423
684	5252	2415
685	5259	2407
686	5268	2400
687	5274	2391
688	5280	2383
689	5287	2375
690	5293	2367
691	5299	2358
692	5306	2350
693	5312	2342
694	5319	2334
695	5325	2326
696	5333	2318
697	5339	2310
698	5345	2301
699	5351	2293
700	5358	2285
701	5365	2277
702	5372	2269
703	5380	2262
704	5388	2254
705	5395	2246
706	5401	2238
707	5408	2230
708	5415	2222
709	5421	2214
710	5427	2206
711	5434	2198
712	5440	2190
713	5447	2181
714	5453	2173
715	5460	2165
716	5466	2157
717	5473	2149
718	5480	2141
719	5486	2133
720	5492	2125
721	5499	2117
722	5506	2109
723	5515	2102
724	5523	2095
725	5532	2088
726	5540	2080
727	5547	2072
728	5553	2064
729	5560	2056
730	5567	2048
731	5574	2041
732	5582	2033
733	5590	2025
734	5599	2018
735	5605	2010
736	5612	2002
737	5618	1994
738	5625	1986
739	5632	1978
740	5638	1970
741	5647	1963
742	5653	1955
743	5660	1947
744	5666	1939
745	5672	1931
746	5680	1924
747	5687	1916
748	5697	1909
749	5705	1901
750	5712	1894
751	5720	1886
752	5728	1878
753	5734	1870
754	5740	1862
755	5746	1854
756	5752	1846
757	5759	1838
758	5765	1830
759	5772	1822
760	5778	1814
761	5785	1806
762	5791	1798
763	5798	1791
764	5804	1783
765	5811	1775
766	5817	1767
767	5823	1759
768	5830	1751
769	5836	1743
770	5843	1735
771	5849	1727
772	5855	1719
773	5863	1712
774	5869	1704
775	5876	1696
776	5882	1688
777	5888	1680
778	5895	1672
779	5901	1664
780	5907	1656
781	5914	1648
782	5919	1640
783	5926	1632
784	5933	1624
785	5939	1617
786	5946	1609
787	5952	1601
788	5958	1593
789	5965	1585
790	5984	1581
791	5991	1573
792	6000	1566
793	6006	1558
794	6013	1550
795	6019	1542
796	6026	1534
797	6031	1526
798	6037	1518
799	6043	1510
800	6049	1503
801	6056	1495
802	6062	1487
803	6068	1479
804	6075	1471
805	6081	1463
806	6089	1456
807	6101	1449
808	6108	1442
809	6114	1434
810	6121	1426
811	6128	1418
812	6134	1410
813	6140	1403
814	6146	1395
815	6152	1387
816	6159	1379
817	6165	1371
818	6171	1364
819	6177	1356
820	6183	1348
821	6190	1340
822	6197	1332
823	6204	1325
824	6210	1317
825	6217	1309
826	6224	1302
827	6230	1294
828	6236	1286
829	6243	1278
830	6248	1270
831	6254	1263
832	6261	1255
833	6267	1247
834	6274	1239
835	6279	1231
836	6285	1224
837	6293	1216
838	6299	1208
839	6306	1201
840	6313	1193
841	6320	1185
842	6325	1178
843	6332	1170
844	6338	1162
845	6345	1155
846	6355	1147
847	6361	1140
848	6367	1132
849	6374	1124
850	6380	1117
851	6387	1109
852	6394	1101
853	6400	1094
854	6406	1086
855	6413	1078
856	6419	1071
857	6425	1063
858	6432	1055
859	6439	1048
860	6445	1040
861	6451	1032
862	6457	1025
863	6464	1017
864	6472	1010
865	6478	1002
866	6484	994
867	6491	987
868	6497	979
869	6504	971
870	6511	964
871	6517	956
872	6523	949
873	6530	941
874	6536	933
875	6542	926
876	6547	918
877	6554	910
878	6561	903
879	6567	895
880	6574	888
881	6581	880
882	6589	873
883	6595	865
884	6601	857
885	6609	850
886	6615	842
887	6623	835
888	6629	827
889	6636	820
890	6642	812
891	6648	804
892	6655	797
893	6661	789
894	6668	782
895	6675	774
896	6681	767
897	6688	759
898	6693	752
899	6700	744
900	6707	737
901	6714	729
902	6721	722
903	6728	714
904	6735	707
905	6741	699
906	6747	691
907	6755	684
908	6761	676
909	6768	669
910	6774	661
911	6780	654
912	6787	646
913	6793	639
914	6798	631
915	6806	624
916	6812	616
917	6819	609
918	6825	601
919	6831	594
920	6838	586
921	6845	579
922	6851	571
923	6858	564
924	6864	556
925	6870	549
926	6876	541
927	6882	534
928	6889	526
929	6895	519
930	6902	511
931	6909	504
932	6916	496
933	6923	489
934	6933	481
935	6940	474
936	6947	467
937	6955	459
938	6961	452
939	6967	444
940	6974	437
941	6980	429
942	6987	422
943	6992	414
944	6999	407
945	7005	399
946	7011	392
947	7018	384
948	7023	377
949	7030	370
950	7037	362
951	7043	355
952	7050	347
953	7056	340
954	7063	332
955	7072	325
956	7082	318
957	7091	310
958	7099	303
959	7106	296
960	7117	288
961	7124	281
962	7131	274
963	7138	266
964	7144	259
965	7151	251
966	7157	244
967	7163	236
968	7170	229
969	7177	221
970	7184	214
971	7190	207
972	7197	199
973	7204	192
974	7210	184
975	7216	177
976	7227	170
977	7233	162
978	7241	155
979	7248	147
980	7255	140
981	7262	133
982	7270	125
983	7277	118
984	7284	110
985	7290	103
986	7296	96
987	7303	88
988	7309	81
989	7317	73
990	7323	66
991	7330	59
992	7337	51
993	7343	44
994	7350	36
995	7357	29
996	7364	22
997	7371	14
998	7377	7
999	7383	0
