iter	RMSE
349	38.86256014
350	38.8622638
351	38.86198943
352	38.86153338
353	38.86110306
354	38.86080206
355	38.8604405
356	38.86020843
357	38.85989863
358	38.85956374
359	38.85925884
360	38.85897814
361	38.85858442
362	38.85820634
363	38.85789141
364	38.85759375
365	38.85720089
366	38.85701646
367	38.85672185
368	38.85647533
369	38.85619332
370	38.8558778
371	38.8554623
372	38.8550152
373	38.85472526
374	38.85450303
375	38.85414165
376	38.85388242
377	38.85355398
378	38.85317915
379	38.85287755
380	38.85265083
381	38.85231792
382	38.85199604
383	38.85178422
384	38.85142974
385	38.85113132
386	38.8508339
387	38.85055494
388	38.85023809
389	38.849886
390	38.84964624
391	38.84943126
392	38.84907286
393	38.84867558
394	38.848383
395	38.84813064
396	38.84779885
397	38.84754914
398	38.84727317
399	38.84700995
400	38.84673939
401	38.84638376
402	38.84607275
403	38.84580472
404	38.84559561
405	38.84532253
406	38.84499929
407	38.84483152
408	38.8444564
409	38.84413781
410	38.84380319
411	38.84348468
412	38.84314317
413	38.84280428
414	38.84253212
415	38.84226954
416	38.84188165
417	38.84166508
418	38.84137753
419	38.84109761
420	38.84081335
421	38.8403566
422	38.84016615
423	38.83981622
424	38.83941372
425	38.83910373
426	38.83886448
427	38.83858873
428	38.83815365
429	38.83794568
430	38.83759539
431	38.83732
432	38.83708494
433	38.83671949
434	38.83644001
435	38.83606547
436	38.83585751
437	38.83545836
438	38.83514297
439	38.8348566
440	38.83457836
441	38.83432224
442	38.83404411
443	38.83372748
444	38.8334141
445	38.83307588
446	38.83268696
447	38.83233545
448	38.83211769
449	38.83175148
450	38.83147646
451	38.83113136
452	38.83082735
453	38.83055289
454	38.83021152
455	38.82994758
456	38.82958662
457	38.8292996
458	38.8290527
459	38.82871427
460	38.82839971
461	38.82818397
462	38.82796964
463	38.82770523
464	38.82752434
465	38.82725198
466	38.82696995
467	38.82666945
468	38.82633635
469	38.82595277
470	38.82572608
471	38.825515
472	38.82529301
473	38.82502086
474	38.82469421
475	38.82440742
476	38.82410082
477	38.82385036
478	38.82364824
479	38.82340263
480	38.82315185
481	38.82278322
482	38.82252133
483	38.8221991
484	38.82186149
485	38.82159581
486	38.82126613
487	38.82098872
488	38.82065621
489	38.82035665
490	38.82007572
491	38.81972426
492	38.81934986
493	38.81907106
494	38.81859933
495	38.81832138
496	38.81803616
497	38.81773959
498	38.81740232
499	38.8170866
500	38.8167563
501	38.81649788
502	38.81619916
503	38.81586845
504	38.81558518
505	38.81532856
506	38.81508309
507	38.81483065
508	38.81441596
509	38.81415261
510	38.81380183
511	38.81343353
512	38.8132185
513	38.81296324
514	38.81271089
515	38.81240385
516	38.81216723
517	38.81194945
518	38.81167657
519	38.81133371
520	38.8110061
521	38.81063523
522	38.81034457
523	38.81006855
524	38.80978162
525	38.80939678
526	38.80910491
527	38.80884209
528	38.80855887
529	38.8081551
530	38.8079231
531	38.8077022
532	38.80744869
533	38.80713464
534	38.80681784
535	38.80649627
536	38.80618923
537	38.80595459
538	38.80560678
539	38.80529216
540	38.80496864
541	38.80462799
542	38.80439936
543	38.80403609
544	38.80367087
545	38.80337725
546	38.80314247
547	38.80285517
548	38.80260069
549	38.80224123
550	38.80184992
551	38.80163872
552	38.8012872
553	38.80099597
554	38.80075599
